id,name,age,gender,height,weight,nationality,medals,games,biography,price,focus,sport,category
,,,,,,Poland,,1,,,Rowing,Team
,,,,,,Switzerland,,6,,,Synchronized Swimming,Team
,,,,,,People's Republic of China,1 S 1 B,6,,,Synchronized Swimming,Team
,,,,,,Nigeria,,2,,,Basketball,Team
,,,,,,People's Republic of China,3 G,3,,,Table Tennis,Team
,,,,,,India,,1,,,Athletics,Team
,,,,,,New Zealand,,1,,,Rowing,Team
,,,,,,Russian Federation,1 G 1 S,3,,,Handball,Team
,,,,,,Argentina,1 G,11,,,Hockey,Team
,,,,,,Germany,1 G,6,,,Beach Volleyball,Team
,,,,,,Ireland,,1,,,Hockey,Team
,,,,,,Israel,,1,,,Gymnastics Rhythmic,Team
,,,,,,France,,1,,,Rugby,Team
,,,,,,Germany,,1,,,Canoe Sprint,Team
,,,,,,Netherlands,,3,,,Cycling Track,Team
,,,,,,Italy,,6,,,Synchronized Swimming,Team
,,,,,,Argentina,1 B,7,,,Volleyball,Team
,,,,,,South Africa,1 S 1 B,5,,,Rowing,Team
,,,,,,India,,2,,,Hockey,Team
,,,,,,Belarus,,1,,,Gymnastics Rhythmic,Team
,,,,,,Ukraine,,3,,,Fencing,Team
,,,,,,Canada,,2,,,Equestrian Jumping,Team
,,,,,,France,1 B,10,,,Tennis,Team
,,,,,,Germany,,5,,,Badminton,Team
,,,,,,Italy,3 G 2 S 3 B,20,,,Water Polo,Team
,,,,,,Austria,,2,,,Sailing,Team
,,,,,,India,,2,,,Badminton,Team
,,,,,,Qatar,,1,,,Equestrian Jumping,Team
,,,,,,Czech Republic,,3,,,Rowing,Team
,,,,,,Indonesia,3 G 1 S 2 B,7,,,Badminton,Team
,,,,,,Thailand,,4,,,Badminton,Team
,,,,,,Japan,2 S,7,,,Athletics,Team
,,,,,,Serbia,,1,,,Canoe Sprint,Team
,,,,,,Canada,1 S,6,,,Synchronized Swimming,Team
,,,,,,Ukraine,,1,,,Tennis,Team
,,,,,,United States of America,,3,,,Table Tennis,Team
,,,,,,Austria,,5,,,Sailing,Team
,,,,,,Japan,,1,,,Archery,Team
,,,,,,Estonia,,2,,,Fencing,Team
,,,,,,Serbia,,1,,,Canoe Sprint,Team
,,,,,,Russian Federation,4 S 1 B,6,,,Gymnastics Artistic,Team
,,,,,,Hungary,,6,,,Tennis,Team
,,,,,,Norway,2 G 2 S 2 B,7,,,Handball,Team
,,,,,,Serbia,,3,,,Rowing,Team
,,,,,,Spain,1 G,5,,,Hockey,Team
,,,,,,United States of America,1 G 1 B,6,,,Synchronized Swimming,Team
,,,,,,Chinese Taipei,,2,,,Table Tennis,Team
,,,,,,Democratic People's Republic of Korea,,2,,,Diving,Team
,,,,,,Ukraine,,1,,,Synchronized Swimming,Team
,,,,,,Montenegro,,3,,,Water Polo,Team
,,,,,,Australia,,3,,,Football,Team
,,,,,,New Zealand,1 G,11,,,Hockey,Team
,,,,,,Poland,,3,,,Athletics,Team
,,,,,,Australia,,3,,,Table Tennis,Team
,,,,,,Australia,2 G 1 B,9,,,Rowing,Team
,,,,,,Mexico,1 G,12,,,Football,Team
,,,,,,Great Britain,2 S 6 B,13,,,Athletics,Team
,,,,,,Cuba,,5,,,Rowing,Team
,,,,,,Japan,1 B,9,,,Football,Team
,,,,,,Japan,2 G 3 S 2 B,12,,,Swimming,Team
,,,,,,Finland,1 B,10,,,Sailing,Team
,,,,,,Denmark,,1,,,Rowing,Team
,,,,,,Japan,,6,,,Rowing,Team
,,,,,,Romania,,2,,,Table Tennis,Team
,,,,,,Denmark,,1,,,Canoe Sprint,Team
,,,,,,Great Britain,,1,,,Rugby,Team
,,,,,,Australia,,1,,,Canoe Sprint,Team
,,,,,,Venezuela,,2,,,Basketball,Team
,,,,,,Slovakia,,3,,,Synchronized Swimming,Team
,,,,,,Kazakhstan,,5,,,Synchronized Swimming,Team
,,,,,,Ukraine,,1,,,Rowing,Team
,,,,,,Russian Federation,1 S,4,,,Fencing,Team
,,,,,,Serbia,1 S,1,,,Basketball,Team
,,,,,,Australia,1 G 1 B,6,,,Beach Volleyball,Team
,,,,,,Austria,,4,,,Synchronized Swimming,Team
,,,,,,South Africa,,2,,,Football,Team
,,,,,,Brazil,,2,,,Swimming,Team
,,,,,,United States of America,2 G 2 S 1 B,5,,,Water Polo,Team
,,,,,,Sweden,1 S 3 B,20,,,Swimming,Team
,,,,,,Angola,,2,,,Sailing,Team
,,,,,,Spain,1 G 1 S 1 B,10,,,Tennis,Team
,,,,,,Canada,1 G 2 S 1 B,9,,,Rowing,Team
,,,,,,Honduras,,3,,,Football,Team
,,,,,,Denmark,2 B,6,,,Badminton,Team
,,,,,,Sweden,4 S,8,,,Handball,Team
,,,,,,Netherlands,1 S 1 B,17,,,Cycling Track,Team
,,,,,,Switzerland,1 G,3,,,Rowing,Team
,,,,,,Turkey,,1,,,Rowing,Team
,,,,,,Australia,1 G 2 B,5,,,Water Polo,Team
,,,,,,Republic of Korea,1 G,1,,,Archery,Team
,,,,,,Italy,,2,,,Diving,Team
,,,,,,Italy,1 S,3,,,Diving,Team
,,,,,,Brazil,,1,,,Sailing,Team
,,,,,,Russian Federation,,1,,,Canoe Sprint,Team
,,,,,,Italy,,9,,,Swimming,Team
,,,,,,Denmark,3 G 1 S 2 B,6,,,Rowing,Team
,,,,,,Sweden,,11,,,Sailing,Team
,,,,,,Mexico,,1,,,Archery,Team
,,,,,,Poland,1 B,1,,,Rowing,Team
,,,,,,Denmark,1 B,1,,,Rowing,Team
,,,,,,New Zealand,2 B,9,,,Cycling Track,Team
,,,,,,Argentina,2 S 1 B,6,,,Hockey,Team
,,,,,,Serbia,,1,,,Tennis,Team
,,,,,,Australia,2 B,5,,,Diving,Team
,,,,,,Great Britain,1 G,2,,,Equestrian Jumping,Team
,,,,,,United States of America,17 G 5 S 2 B,24,,,Swimming,Team
,,,,,,Great Britain,1 B,5,,,Badminton,Team
,,,,,,Russian Federation,,6,,,Sailing,Team
,,,,,,Brazil,,3,,,Table Tennis,Team
,,,,,,Japan,1 S,3,,,Table Tennis,Team
,,,,,,Romania,,1,,,Tennis,Team
,,,,,,Argentina,,2,,,Beach Volleyball,Team
,,,,,,Japan,,3,,,Hockey,Team
,,,,,,Mexico,,6,,,Tennis,Team
,,,,,,Great Britain,3 G 2 S 4 B,17,,,Hockey,Team
,,,,,,United States of America,7 G,9,,,Tennis,Team
,,,,,,Germany,1 S 1 B,13,,,Swimming,Team
,,,,,,Russian Federation,,3,,,Sailing,Team
,,,,,,Republic of Korea,1 B,11,,,Volleyball,Team
,,,,,,Japan,1 G 1 S,7,,,Badminton,Team
